tier,category,slug,working_title,target_query,status,notes
0,landing,bluesky-api,Bluesky API,bluesky api,idea,Per-platform landing
0,landing,linkedin-api,LinkedIn API,linkedin api,idea,Per-platform landing
0,landing,x-api,X (Twitter) API,x api,idea,Per-platform landing
0,landing,instagram-api,Instagram API,instagram api,idea,Per-platform landing
0,landing,facebook-api,Facebook API,facebook api,idea,Per-platform landing
0,landing,threads-api,Threads API,threads api,idea,Per-platform landing
0,landing,youtube-api,YouTube API,youtube api,idea,Per-platform landing
0,landing,pinterest-api,Pinterest API,pinterest api,idea,Per-platform landing
0,landing,errors/bluesky,Bluesky API error catalog,bluesky api errors,idea,Index page linking to per-error pages
0,landing,errors/linkedin,LinkedIn API error catalog,linkedin api errors,idea,Index page linking to per-error pages
0,landing,errors/x,X (Twitter) API error catalog,twitter api errors,idea,Index page linking to per-error pages
0,landing,errors/instagram,Instagram API error catalog,instagram api errors,idea,Index page linking to per-error pages
0,landing,errors/threads,Threads API error catalog,threads api errors,idea,Index page linking to per-error pages
0,landing,errors/facebook,Facebook API error catalog,facebook api errors,idea,Index page linking to per-error pages
0,landing,errors/youtube,YouTube API error catalog,youtube api errors,idea,Index page linking to per-error pages
0,landing,errors/pinterest,Pinterest API error catalog,pinterest api errors,idea,Index page linking to per-error pages
1,error,errors/linkedin/65601-unsupported-media-type,Fix LinkedIn API error 65601: unsupported media type,linkedin error 65601,idea,Verify exact code in LinkedIn UGC docs
1,error,errors/linkedin/65604-text-too-large,Fix LinkedIn API error 65604: text content too large,linkedin error 65604,idea,Verify exact code
1,error,errors/linkedin/65605-image-too-large,Fix LinkedIn API error 65605: image size limit,linkedin error 65605,idea,Verify exact code
1,error,errors/linkedin/110-not-allowed-author,Fix LinkedIn API error 110: not allowed on author,linkedin error 110,idea,Common org-page posting failure
1,error,errors/linkedin/410-version-gone,Fix LinkedIn API 410 Gone: version deprecated,linkedin api 410 gone,idea,Wedge content — version churn
1,error,errors/linkedin/token-expired,LinkedIn API token expired: how to refresh,linkedin api token expired,idea,60-day refresh lifecycle
1,error,errors/threads/oauthexception-2207052,Fix Threads OAuthException 2207052,threads oauthexception 2207052,idea,Real cited error from research corpus
1,error,errors/threads/2207057-invalid-media,Fix Threads error 2207057: invalid media,threads error 2207057,idea,
1,error,errors/instagram/9007-media-not-found,Fix Instagram Graph error 9007: media not found,instagram error 9007,idea,Verify exact code in Graph docs
1,error,errors/instagram/200-permission-denied,Fix Instagram Graph error 200: permission denied,instagram error 200,idea,Scope/business-account issue
1,error,errors/instagram/2207003-publish-failed,Fix Instagram error 2207003: publish failed,instagram error 2207003,idea,
1,error,errors/youtube/videos-insert-forbidden,Fix YouTube videos.insert forbidden,youtube videos insert forbidden,idea,Common scope mismatch
1,error,errors/youtube/quota-exceeded,Fix YouTube API quotaExceeded,youtube api quotaexceeded,idea,Pair with quota calculator tool
1,error,errors/x/187-duplicate-content,Fix X/Twitter error 187: duplicate content,twitter error 187,idea,
1,error,errors/x/220-credentials-do-not-allow,Fix X/Twitter error 220: credentials don't allow access,twitter error 220,idea,
1,error,errors/bluesky/jwt-expired,Fix Bluesky JWT expired error,bluesky jwt expired,idea,Minutes-long lifecycle = high volume
1,error,errors/pinterest/403-board-permission,Fix Pinterest API 403: board permission denied,pinterest api 403,idea,
1,preflight,prevent-double-posting-social-media-api,How to prevent double-posting in social media APIs,prevent double posting api,idea,Wedge — links to Postiz postmortem
